"documents","link","keywords"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162774/D042023_230615_Beeston_Centre.pdf","https://www.gov.uk/government/publications/safety-digest-042023-beeston-centre-tram-stop","monitoring, survey, impact"
"https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech/uk-safety-tech-sector-2023-analysis","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech","performance, impact, interview, monitoring, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160085/uk_safety_tech_analysis_2023.pdf","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech","performance, impact, interview, monitoring"
"https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech/uk-safety-tech-sector-2022-analysis","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech","performance, survey, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1095102/OS0057_UK_Safety_Tech_Analysis_2022_Online_v4__2_.pdf","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech","performance, survey, impact"
"https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech/the-uk-safety-tech-sector-2021-analysis","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech","performance, survey, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/989753/UK_Safety_Tech_Analysis_2021_-_Final_-_190521.pdf","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech","performance, survey, impact"
"https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech","interview, evaluation, monitoring, impact, performance, rapid evidence assessment, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/974414/Safer_technology__safer_users-_The_UK_as_a_world-leader_in_Safety_Tech_V2.pdf","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech","interview, evaluation, monitoring, impact, performance, rapid evidence assessment"
"https://www.gov.uk/government/publications/escherichia-coli-e-coli-o157-annual-totals/shiga-toxin-producing-escherichia-coli-stec-data-2020","https://www.gov.uk/government/publications/escherichia-coli-e-coli-o157-annual-totals","impact, survey, evaluation"
"https://www.gov.uk/government/publications/escherichia-coli-e-coli-o157-annual-totals/shiga-toxin-producing-escherichia-coli-stec-data-2019","https://www.gov.uk/government/publications/escherichia-coli-e-coli-o157-annual-totals","survey, impact, systematic review"
"https://digital.nhs.uk/data-and-information/publications/statistical/learning-disability-services-statistics/at-may-2023-mhsds-march-2023-final","https://www.gov.uk/government/statistics/learning-disability-services-monthly-statistics-at-may-2023-mhsds-march-2023-final",NA
"https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021/bioscience-and-health-technology-sector-statistics-2021","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021","survey"
"https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021/bioscience-and-health-technology-sector-statistics-2021-background-quality-and-user-guide","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021","impact, monitoring, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1120908/BaHTSS_accompanying_data_tables_2021.ods","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021",NA
"https://www.gov.uk/guidance/using-open-document-formats-odf-in-your-organisation","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021","performance, impact, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1120912/BaHTSS_figures_behind_charts_2021.ods","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021",NA
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/1120916/BaHTSS_site_level_dataset_2021.csv/preview","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021","experimental, survey, monitoring, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1120916/BaHTSS_site_level_dataset_2021.csv","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021",NA
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162910/bioscience-and-health-technology-sector-statistics-2021-medtech-user-request.ods","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021",NA
"https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study/national-registry-for-radiation-workers-information-sheet","https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study","impact, survey"
"https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study/inworks-collaborative-study-using-nrrw-data","https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study","monitoring, survey"
"https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study/privacy-notice-for-national-registry-for-radiation-workers-nrrw","https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study","performance, survey"
"https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study/nrrw-data-publications-by-study-team","https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study","impact, survey"
"https://www.gov.uk/government/publications/creative-spillovers-do-the-creative-industries-benefit-firms-in-the-wider-economy/creative-spillovers-do-the-creative-industries-benefit-firms-in-the-wider-economy","https://www.gov.uk/government/publications/creative-spillovers-do-the-creative-industries-benefit-firms-in-the-wider-economy","impact, survey, performance, experimental, evaluation, rct, realist"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162218/report_-_creativespillovers_-_FINAL_-_12062023.pdf","https://www.gov.uk/government/publications/creative-spillovers-do-the-creative-industries-benefit-firms-in-the-wider-economy","survey, impact, performance, experimental, evaluation, rct, realist"
"https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness/loneliness-stigma-rapid-evidence-assessment-rea","https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness","rapid evidence assessment, impact, survey, interview, evaluation, focus group, systematic review"
"https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness/exploring-loneliness-stigma-through-qualitative-interviews-and-focus-groups","https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness","interview, focus group, impact, rapid evidence assessment, survey, systematic review, evaluation, case study"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161628/Appendix_B_Included_papers.ods","https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness",NA
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161629/Appendix_C_Database_search_report.ods","https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness",NA
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162082/open_networks_research_and_development_fund_baseline_study.pdf","https://www.gov.uk/government/publications/open-networks-research-and-development-fund-baseline-study","impact, monitoring, evaluation, survey, interview, performance, experimental"
"https://www.gov.uk/government/statistics/employee-share-scheme-statistics/employee-share-schemes-statistics-background","https://www.gov.uk/government/statistics/employee-share-scheme-statistics","impact, evaluation, survey"
"https://www.gov.uk/government/statistics/employee-share-scheme-statistics/employee-share-schemes-statistics-commentary","https://www.gov.uk/government/statistics/employee-share-scheme-statistics","survey, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1087226/ESS_Tables.ods","https://www.gov.uk/government/statistics/employee-share-scheme-statistics",NA
"https://www.gov.uk/government/statistics/quality-report-employee-share-schemes","https://www.gov.uk/government/statistics/employee-share-scheme-statistics","survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161621/sens-overall-impact-evaluation-report.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation","impact, evaluation, interview, survey, focus group, performance, rct, experimental, monitoring, systematic review, quasi experimental, realist evaluation, contribution analysis, propensity score matching, realist"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161619/sens-smart-energy-thermostat-sen-st-evaluation.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation","evaluation, interview, survey, impact, rct, randomised control trial, contribution analysis, performance, monitoring, propensity score matching"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159807/sens-gengame-evaluation.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation","evaluation, interview, survey, propensity score matching, impact, rct, contribution analysis, performance, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159808/sens-smart-local-energy-markets-evaluation.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation","evaluation, interview, survey, impact, theory based, realist evaluation, focus group, monitoring, realist, contribution analysis, performance, propensity score matching, rct"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159809/sens-meets-evaluation-report.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation","evaluation, interview, survey, randomised control trial, impact, performance, rct, monitoring, realist, contribution analysis, propensity score matching"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159810/sens-intelligent-digital-energy-advisory-ideas-evaluation-report.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation","evaluation, interview, survey, impact, contribution analysis, rct, theory based, monitoring, performance, propensity score matching"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159811/smart-energy-savings-competition-evaluation-technical-report.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation","evaluation, interview, survey, focus group, monitoring, experimental, impact, rct, contribution analysis, realist evaluation, realist, performance, propensity score matching"
"https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse/the-report-of-the-independent-inquiry-into-child-sexual-abuse-section-1-and-section-2-parts-a-to-j-accessible","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse","impact, survey, case study, consultative, monitoring, performance, interview, focus group, realist, rapid evidence assessment, evaluation"
"https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse/the-report-of-the-independent-inquiry-into-child-sexual-abuse-part-k-and-annexes-accessible","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse","survey, realist, evaluation, impact, monitoring, performance, interview, case study, rapid evidence assessment, focus group, consultative, simulation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1112123/the-report-independent-inquiry-into-child-sexual-abuse-october-2022.pdf","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse","impact, survey, case study, consultative, monitoring, performance, interview, focus group, realist, rapid evidence assessment, evaluation, simulation"
"https://www.gov.uk/guidance/how-to-buy-printed-copies-of-official-documents","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse","survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1112128/20pt-ELAY-vol1-the-report-independent-inquiry-into-child-sexual-abuse-october-2022.pdf","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse","impact, survey, case study, consultative, monitoring, performance, rapid evidence assessment, interview, focus group, realist, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1112129/20pt-ELAY-vol2-the-report-independent-inquiry-into-child-sexual-abuse-october-2022.pdf","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse","impact, survey, realist, case study, monitoring, interview, performance, rapid evidence assessment, evaluation, focus group, consultative, simulation"
"https://www.gov.uk/government/publications/how-driving-instructors-view-and-use-mock-driving-tests-2023-survey-results/how-driving-instructors-view-and-use-mock-driving-tests-2023-survey-results","https://www.gov.uk/government/publications/how-driving-instructors-view-and-use-mock-driving-tests-2023-survey-results","survey, evaluation, performance, realist"
"https://www.gov.uk/government/publications/health-protection-report-volume-17-2023/hpr-volume-17-issue-6-news-8-june-2023","https://www.gov.uk/government/publications/health-protection-report-volume-17-2023","impact, survey"
"https://www.gov.uk/government/publications/health-protection-report-volume-17-2023/hpr-volume-17-issue-5-news-4-may-2023","https://www.gov.uk/government/publications/health-protection-report-volume-17-2023","survey"
"https://www.gov.uk/government/publications/health-protection-report-volume-17-2023/hpr-volume-17-issues-3-and-4-news-28-march-2023","https://www.gov.uk/government/publications/health-protection-report-volume-17-2023","impact, monitoring, survey, evaluation"
"https://www.gov.uk/government/publications/health-protection-report-volume-17-2023/hpr-volume-17-issue-2-news-27-february-2023","https://www.gov.uk/government/publications/health-protection-report-volume-17-2023","monitoring, survey, evaluation"
"https://www.gov.uk/government/publications/health-protection-report-volume-17-2023/hpr-volume-17-issue-1-news-30-january-2023","https://www.gov.uk/government/publications/health-protection-report-volume-17-2023","evaluation, survey"
"https://www.gov.uk/government/statistics/universal-credit-work-capability-assessment-april-2019-to-march-2023/universal-credit-work-capability-assessments-april-2019-to-march-2023","https://www.gov.uk/government/statistics/universal-credit-work-capability-assessment-april-2019-to-march-2023","experimental, impact, interview, monitoring, evaluation, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160383/data-tables-uc-wca-to-March-2023.ods","https://www.gov.uk/government/statistics/universal-credit-work-capability-assessment-april-2019-to-march-2023",NA
"https://www.gov.uk/government/statistics/esa-outcomes-of-work-capability-assessments-including-mandatory-reconsiderations-and-appeals-june-2023/esa-work-capability-assessments-mandatory-reconsiderations-and-appeals-june-2023","https://www.gov.uk/government/statistics/esa-outcomes-of-work-capability-assessments-including-mandatory-reconsiderations-and-appeals-june-2023","experimental, impact, interview, monitoring, evaluation, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161384/tables-esa-wca-summary-june-2023.ods","https://www.gov.uk/government/statistics/esa-outcomes-of-work-capability-assessments-including-mandatory-reconsiderations-and-appeals-june-2023",NA
"https://stat-xplore.dwp.gov.uk/webapi/jsf/login.xhtml","https://www.gov.uk/government/statistics/esa-outcomes-of-work-capability-assessments-including-mandatory-reconsiderations-and-appeals-june-2023",NA
"https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023/operation-of-police-powers-under-the-terrorism-act-2000-and-subsequent-legislation-arrests-outcomes-and-stop-and-search-great-britain-quarterly-u","https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023","experimental, evaluation, impact, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160827/annex-a-flow-chart-mar2023.pdf","https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023",NA
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160701/operation-police-powers-terrorism-mar2023-annual-tables.ods","https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023",NA
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160702/operation-police-powers-terrorism-mar2023-quarterly-tables.ods","https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023",NA
"https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023/pre-release-access-list-for-operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023--2","https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023","performance, rct, survey"
"https://www.gov.uk/government/statistics/restart-scheme-statistics-to-april-2023/restart-scheme-statistics-to-april-2023","https://www.gov.uk/government/statistics/restart-scheme-statistics-to-april-2023","impact, performance, monitoring, evaluation, experimental, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161510/tables-restart_scheme-to-april-2023.xlsx","https://www.gov.uk/government/statistics/restart-scheme-statistics-to-april-2023",NA
"https://digital.nhs.uk/data-and-information/publications/statistical/mental-health-services-monthly-statistics/performance-march-provisional-april-2023","https://www.gov.uk/government/statistics/mental-health-services-monthly-statistics-performance-march-provisional-april-2023",NA
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159135/zebra-pre-implementation-report.pdf","https://www.gov.uk/government/publications/zero-emission-bus-regional-areas-scheme-interim-evaluation","monitoring, evaluation, impact, interview, performance"
"https://digital.nhs.uk/data-and-information/publications/statistical/community-services-statistics-for-children-young-people-and-adults/march-2023","https://www.gov.uk/government/statistics/community-services-statistics-march-2023",NA
"https://www.gov.uk/government/publications/tampon-tax-fund-evaluation/tampon-tax-fund-evaluation-main-report","https://www.gov.uk/government/publications/tampon-tax-fund-evaluation","evaluation, impact, monitoring, case study, interview, survey, realist"
"https://www.gov.uk/government/publications/tampon-tax-fund-evaluation/tampon-tax-fund-evaluation-appendices","https://www.gov.uk/government/publications/tampon-tax-fund-evaluation","evaluation, monitoring, case study, interview, survey, impact, performance, polling, rct, realist, experimental"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161053/RPC-DEFRA-5118_2__SUP_EPS_OPINION__f_.pdf","https://www.gov.uk/government/publications/banning-of-various-single-use-plastic-sup-products-rpc-opinions-green-rated","impact, monitoring, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161054/RPC-DEFRA-5119_2__SUP_PC_OPINION__f_.pdf","https://www.gov.uk/government/publications/banning-of-various-single-use-plastic-sup-products-rpc-opinions-green-rated","impact, monitoring, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161055/RPC-DEFRA-5120_2__SUP_Balloon_Stick_OPINION__f_.pdf","https://www.gov.uk/government/publications/banning-of-various-single-use-plastic-sup-products-rpc-opinions-green-rated","impact, monitoring, evaluation"
"https://www.gov.uk/government/publications/air-quality-onboard-trains-a-response-to-the-rail-safety-and-standards-board-report/air-quality-onboard-trains-a-response-to-the-rail-safety-and-standards-board-report","https://www.gov.uk/government/publications/air-quality-onboard-trains-a-response-to-the-rail-safety-and-standards-board-report","impact, monitoring, performance, survey"
"https://www.gov.uk/government/publications/low-carbon-transport-fuels-dft-science-advisory-council-position-paper/low-carbon-transport-fuels-dft-science-advisory-council-position-paper","https://www.gov.uk/government/publications/low-carbon-transport-fuels-dft-science-advisory-council-position-paper","impact, performance, evaluation, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160821/HMRC_research_report_700_Share_schemes_evaluation.odt","https://www.gov.uk/government/publications/share-schemes-evaluation",NA
"https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings/investigation-into-the-risk-to-human-health-of-avian-influenza-influenza-a-h5n1-in-england-technical-briefing-4","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings","evaluation, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160517/avian-influenza-human-health-technical-briefing-4-data-england-2-june-2023.ods","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings",NA
"https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings/investigation-into-the-risk-to-human-health-of-avian-influenza-influenza-a-h5n1-in-england-technical-briefing-3","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings","impact, simulation, evaluation, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146910/avian-influenza-human-health-technical-briefing-3-data-england-29-march-2023.ods","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings",NA
"https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings/investigation-into-the-risk-to-human-health-of-avian-influenza-influenza-a-h5n1-in-england-technical-briefing-2","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings","evaluation, performance, impact, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1137826/avian-influenza-human-health-technical-briefing-2-data-england-23-february-2023.ods","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings",NA
"https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings/investigation-into-the-risk-to-human-health-of-avian-influenza-influenza-a-h5n1-in-england-technical-briefing-1","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings","monitoring, evaluation, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1125658/Avian_flu_tech_briefing_1_supporting_data.ods","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings",NA
"https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022/invasive-meningococcal-disease-in-england-annual-laboratory-confirmed-reports-for-epidemiological-year-2021-to-2022","https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022","impact, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160307/IMD-annual-data-tables-2021-2022.ods","https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022",NA
