"documents","link"
"https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/974414/Safer_technology__safer_users-_The_UK_as_a_world-leader_in_Safety_Tech_V2.pdf","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech"
"https://www.gov.uk/government/publications/escherichia-coli-e-coli-o157-annual-totals/shiga-toxin-producing-escherichia-coli-stec-data-2020","https://www.gov.uk/government/publications/escherichia-coli-e-coli-o157-annual-totals"
"https://www.gov.uk/government/publications/escherichia-coli-e-coli-o157-annual-totals/shiga-toxin-producing-escherichia-coli-stec-data-2019","https://www.gov.uk/government/publications/escherichia-coli-e-coli-o157-annual-totals"
"https://digital.nhs.uk/data-and-information/publications/statistical/learning-disability-services-statistics/at-may-2023-mhsds-march-2023-final","https://www.gov.uk/government/statistics/learning-disability-services-monthly-statistics-at-may-2023-mhsds-march-2023-final"
"https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021/bioscience-and-health-technology-sector-statistics-2021","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021"
"https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021/bioscience-and-health-technology-sector-statistics-2021-background-quality-and-user-guide","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1120908/BaHTSS_accompanying_data_tables_2021.ods","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021"
"https://www.gov.uk/guidance/using-open-document-formats-odf-in-your-organisation","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1120912/BaHTSS_figures_behind_charts_2021.ods","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021"
"https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/1120916/BaHTSS_site_level_dataset_2021.csv/preview","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1120916/BaHTSS_site_level_dataset_2021.csv","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162910/bioscience-and-health-technology-sector-statistics-2021-medtech-user-request.ods","https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021"
"https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study/national-registry-for-radiation-workers-information-sheet","https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study"
"https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study/inworks-collaborative-study-using-nrrw-data","https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study"
"https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study/privacy-notice-for-national-registry-for-radiation-workers-nrrw","https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study"
"https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study/nrrw-data-publications-by-study-team","https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study"
"https://www.gov.uk/government/publications/creative-spillovers-do-the-creative-industries-benefit-firms-in-the-wider-economy/creative-spillovers-do-the-creative-industries-benefit-firms-in-the-wider-economy","https://www.gov.uk/government/publications/creative-spillovers-do-the-creative-industries-benefit-firms-in-the-wider-economy"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162218/report_-_creativespillovers_-_FINAL_-_12062023.pdf","https://www.gov.uk/government/publications/creative-spillovers-do-the-creative-industries-benefit-firms-in-the-wider-economy"
"https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness/loneliness-stigma-rapid-evidence-assessment-rea","https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness"
"https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness/exploring-loneliness-stigma-through-qualitative-interviews-and-focus-groups","https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161628/Appendix_B_Included_papers.ods","https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161629/Appendix_C_Database_search_report.ods","https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162082/open_networks_research_and_development_fund_baseline_study.pdf","https://www.gov.uk/government/publications/open-networks-research-and-development-fund-baseline-study"
"https://www.gov.uk/government/statistics/employee-share-scheme-statistics/employee-share-schemes-statistics-background","https://www.gov.uk/government/statistics/employee-share-scheme-statistics"
"https://www.gov.uk/government/statistics/employee-share-scheme-statistics/employee-share-schemes-statistics-commentary","https://www.gov.uk/government/statistics/employee-share-scheme-statistics"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1087226/ESS_Tables.ods","https://www.gov.uk/government/statistics/employee-share-scheme-statistics"
"https://www.gov.uk/government/statistics/quality-report-employee-share-schemes","https://www.gov.uk/government/statistics/employee-share-scheme-statistics"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161621/sens-overall-impact-evaluation-report.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161619/sens-smart-energy-thermostat-sen-st-evaluation.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159807/sens-gengame-evaluation.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159808/sens-smart-local-energy-markets-evaluation.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159809/sens-meets-evaluation-report.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159810/sens-intelligent-digital-energy-advisory-ideas-evaluation-report.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159811/smart-energy-savings-competition-evaluation-technical-report.pdf","https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation"
"https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse/the-report-of-the-independent-inquiry-into-child-sexual-abuse-section-1-and-section-2-parts-a-to-j-accessible","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse"
"https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse/the-report-of-the-independent-inquiry-into-child-sexual-abuse-part-k-and-annexes-accessible","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1112123/the-report-independent-inquiry-into-child-sexual-abuse-october-2022.pdf","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse"
"https://www.gov.uk/guidance/how-to-buy-printed-copies-of-official-documents","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1112128/20pt-ELAY-vol1-the-report-independent-inquiry-into-child-sexual-abuse-october-2022.pdf","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1112129/20pt-ELAY-vol2-the-report-independent-inquiry-into-child-sexual-abuse-october-2022.pdf","https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse"
"https://www.gov.uk/government/publications/how-driving-instructors-view-and-use-mock-driving-tests-2023-survey-results/how-driving-instructors-view-and-use-mock-driving-tests-2023-survey-results","https://www.gov.uk/government/publications/how-driving-instructors-view-and-use-mock-driving-tests-2023-survey-results"
"https://www.gov.uk/government/publications/health-protection-report-volume-17-2023/hpr-volume-17-issue-6-news-8-june-2023","https://www.gov.uk/government/publications/health-protection-report-volume-17-2023"
"https://www.gov.uk/government/publications/health-protection-report-volume-17-2023/hpr-volume-17-issue-5-news-4-may-2023","https://www.gov.uk/government/publications/health-protection-report-volume-17-2023"
"https://www.gov.uk/government/publications/health-protection-report-volume-17-2023/hpr-volume-17-issues-3-and-4-news-28-march-2023","https://www.gov.uk/government/publications/health-protection-report-volume-17-2023"
"https://www.gov.uk/government/publications/health-protection-report-volume-17-2023/hpr-volume-17-issue-2-news-27-february-2023","https://www.gov.uk/government/publications/health-protection-report-volume-17-2023"
"https://www.gov.uk/government/publications/health-protection-report-volume-17-2023/hpr-volume-17-issue-1-news-30-january-2023","https://www.gov.uk/government/publications/health-protection-report-volume-17-2023"
"https://www.gov.uk/government/statistics/universal-credit-work-capability-assessment-april-2019-to-march-2023/universal-credit-work-capability-assessments-april-2019-to-march-2023","https://www.gov.uk/government/statistics/universal-credit-work-capability-assessment-april-2019-to-march-2023"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160383/data-tables-uc-wca-to-March-2023.ods","https://www.gov.uk/government/statistics/universal-credit-work-capability-assessment-april-2019-to-march-2023"
"https://www.gov.uk/government/statistics/esa-outcomes-of-work-capability-assessments-including-mandatory-reconsiderations-and-appeals-june-2023/esa-work-capability-assessments-mandatory-reconsiderations-and-appeals-june-2023","https://www.gov.uk/government/statistics/esa-outcomes-of-work-capability-assessments-including-mandatory-reconsiderations-and-appeals-june-2023"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161384/tables-esa-wca-summary-june-2023.ods","https://www.gov.uk/government/statistics/esa-outcomes-of-work-capability-assessments-including-mandatory-reconsiderations-and-appeals-june-2023"
"https://stat-xplore.dwp.gov.uk/webapi/jsf/login.xhtml","https://www.gov.uk/government/statistics/esa-outcomes-of-work-capability-assessments-including-mandatory-reconsiderations-and-appeals-june-2023"
"https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023/operation-of-police-powers-under-the-terrorism-act-2000-and-subsequent-legislation-arrests-outcomes-and-stop-and-search-great-britain-quarterly-u","https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160827/annex-a-flow-chart-mar2023.pdf","https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160701/operation-police-powers-terrorism-mar2023-annual-tables.ods","https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160702/operation-police-powers-terrorism-mar2023-quarterly-tables.ods","https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023"
"https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023/pre-release-access-list-for-operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023--2","https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023"
"https://www.gov.uk/government/statistics/restart-scheme-statistics-to-april-2023/restart-scheme-statistics-to-april-2023","https://www.gov.uk/government/statistics/restart-scheme-statistics-to-april-2023"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161510/tables-restart_scheme-to-april-2023.xlsx","https://www.gov.uk/government/statistics/restart-scheme-statistics-to-april-2023"
"https://digital.nhs.uk/data-and-information/publications/statistical/mental-health-services-monthly-statistics/performance-march-provisional-april-2023","https://www.gov.uk/government/statistics/mental-health-services-monthly-statistics-performance-march-provisional-april-2023"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159135/zebra-pre-implementation-report.pdf","https://www.gov.uk/government/publications/zero-emission-bus-regional-areas-scheme-interim-evaluation"
"https://digital.nhs.uk/data-and-information/publications/statistical/community-services-statistics-for-children-young-people-and-adults/march-2023","https://www.gov.uk/government/statistics/community-services-statistics-march-2023"
"https://www.gov.uk/government/publications/tampon-tax-fund-evaluation/tampon-tax-fund-evaluation-main-report","https://www.gov.uk/government/publications/tampon-tax-fund-evaluation"
"https://www.gov.uk/government/publications/tampon-tax-fund-evaluation/tampon-tax-fund-evaluation-appendices","https://www.gov.uk/government/publications/tampon-tax-fund-evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161053/RPC-DEFRA-5118_2__SUP_EPS_OPINION__f_.pdf","https://www.gov.uk/government/publications/banning-of-various-single-use-plastic-sup-products-rpc-opinions-green-rated"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161054/RPC-DEFRA-5119_2__SUP_PC_OPINION__f_.pdf","https://www.gov.uk/government/publications/banning-of-various-single-use-plastic-sup-products-rpc-opinions-green-rated"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161055/RPC-DEFRA-5120_2__SUP_Balloon_Stick_OPINION__f_.pdf","https://www.gov.uk/government/publications/banning-of-various-single-use-plastic-sup-products-rpc-opinions-green-rated"
"https://www.gov.uk/government/publications/air-quality-onboard-trains-a-response-to-the-rail-safety-and-standards-board-report/air-quality-onboard-trains-a-response-to-the-rail-safety-and-standards-board-report","https://www.gov.uk/government/publications/air-quality-onboard-trains-a-response-to-the-rail-safety-and-standards-board-report"
"https://www.gov.uk/government/publications/low-carbon-transport-fuels-dft-science-advisory-council-position-paper/low-carbon-transport-fuels-dft-science-advisory-council-position-paper","https://www.gov.uk/government/publications/low-carbon-transport-fuels-dft-science-advisory-council-position-paper"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160821/HMRC_research_report_700_Share_schemes_evaluation.odt","https://www.gov.uk/government/publications/share-schemes-evaluation"
"https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings/investigation-into-the-risk-to-human-health-of-avian-influenza-influenza-a-h5n1-in-england-technical-briefing-4","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160517/avian-influenza-human-health-technical-briefing-4-data-england-2-june-2023.ods","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings"
"https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings/investigation-into-the-risk-to-human-health-of-avian-influenza-influenza-a-h5n1-in-england-technical-briefing-3","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146910/avian-influenza-human-health-technical-briefing-3-data-england-29-march-2023.ods","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings"
"https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings/investigation-into-the-risk-to-human-health-of-avian-influenza-influenza-a-h5n1-in-england-technical-briefing-2","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1137826/avian-influenza-human-health-technical-briefing-2-data-england-23-february-2023.ods","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings"
"https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings/investigation-into-the-risk-to-human-health-of-avian-influenza-influenza-a-h5n1-in-england-technical-briefing-1","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1125658/Avian_flu_tech_briefing_1_supporting_data.ods","https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings"
"https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022/invasive-meningococcal-disease-in-england-annual-laboratory-confirmed-reports-for-epidemiological-year-2021-to-2022","https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160307/IMD-annual-data-tables-2021-2022.ods","https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022"
"https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022/laboratory-confirmed-cases-of-invasive-meningococcal-infection-in-england-april-to-june-2022","https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022"
"https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022/laboratory-confirmed-cases-of-invasive-meningococcal-infection-in-england-january-to-march-2022","https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022"
"https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022/laboratory-confirmed-cases-of-invasive-meningococcal-infection-in-england-october-to-december-2021","https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022"
"https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022/laboratory-confirmed-cases-of-invasive-meningococcal-infection-in-england-july-to-september-2021","https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160090/PBSA_report_end_of_Phase_2_-_Executive_Summary.pdf","https://www.gov.uk/government/publications/place-based-social-action-phase-2-evaluation-report"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160091/PBSA_report_-_end_of_Phase_2.pdf","https://www.gov.uk/government/publications/place-based-social-action-phase-2-evaluation-report"
"https://www.gov.uk/government/statistics/milk-utilisation-by-dairies-in-england-and-wales/usage-of-milk-by-dairies-in-the-united-kingdom-statistics-february-2023","https://www.gov.uk/government/statistics/milk-utilisation-by-dairies-in-england-and-wales"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159938/milkutil-dataset-01jun23.ods","https://www.gov.uk/government/statistics/milk-utilisation-by-dairies-in-england-and-wales"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1159940/milkutil_supplies-dataset-01jun23.ods","https://www.gov.uk/government/statistics/milk-utilisation-by-dairies-in-england-and-wales"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/848640/milkutil-sizedistributions-26nov19.ods","https://www.gov.uk/government/statistics/milk-utilisation-by-dairies-in-england-and-wales"
"https://www.gov.uk/government/statistics/historical-national-statistics-notices-on-milk-utilisation-by-dairies-2023/usage-of-milk-by-dairies-in-the-united-kingdom-statistics-march-2023-published-04-may-2023","https://www.gov.uk/government/statistics/historical-national-statistics-notices-on-milk-utilisation-by-dairies-2023"
"https://www.gov.uk/government/statistics/historical-national-statistics-notices-on-milk-utilisation-by-dairies-2023/usage-of-milk-by-dairies-in-the-united-kingdom-statistics-january-2023-published-02-march-2023","https://www.gov.uk/government/statistics/historical-national-statistics-notices-on-milk-utilisation-by-dairies-2023"
"https://www.gov.uk/government/statistics/historical-national-statistics-notices-on-milk-utilisation-by-dairies-2023/usage-of-milk-by-dairies-in-the-united-kingdom-statistics-january-2023-published-02-march-2023--2","https://www.gov.uk/government/statistics/historical-national-statistics-notices-on-milk-utilisation-by-dairies-2023"
"https://www.gov.uk/government/publications/evaluation-of-the-children-of-alcohol-dependent-parents-programme-innovation-fund/evaluation-of-the-children-of-alcohol-dependent-parents-programme-innovation-fund-executive-summary","https://www.gov.uk/government/publications/evaluation-of-the-children-of-alcohol-dependent-parents-programme-innovation-fund"
"https://www.gov.uk/government/publications/evaluation-of-the-children-of-alcohol-dependent-parents-programme-innovation-fund/evaluation-of-the-children-of-alcohol-dependent-parents-programme-innovation-fund-full-report","https://www.gov.uk/government/publications/evaluation-of-the-children-of-alcohol-dependent-parents-programme-innovation-fund"
