"link","updated","title","summary"
"https://www.gov.uk/government/publications/research-exploring-the-stigma-associated-with-loneliness","2023-06-11T23:15:02Z","Research exploring the stigma associated with loneliness","An evidence review and qualitative research commissioned by DCMS to explore the stigma associated with loneliness."
"https://www.gov.uk/government/publications/open-networks-research-and-development-fund-baseline-study","2023-06-09T14:30:18Z","Open Networks Research and Development Fund: baseline study","Baseline evidence on the UK Open Radio Access Network (RAN) market, which will be used in the <mark>evaluation</mark> of the Open Networks Research and Development Fund."
"https://www.gov.uk/government/statistics/employee-share-scheme-statistics","2023-06-09T14:14:12Z","Employee Share Scheme statistics","Statistics on the tax-advantaged Employee Share Schemes."
"https://www.gov.uk/government/publications/smart-energy-savings-sens-competition-evaluation","2023-06-09T12:00:02Z","Smart Energy Savings (SENS) Competition: evaluation","Independent <mark>evaluation</mark> of the impacts of innovative feedback products and services that used smart meter data on household energy consumption."
"https://www.gov.uk/government/publications/iicsa-report-of-the-independent-inquiry-into-child-sexual-abuse","2023-06-09T10:30:57Z","IICSA: report of the Independent Inquiry into Child Sexual Abuse","Final report of the Independent Inquiry into Child Sexual Abuse (IICSA), chaired by Professor Alexis Jay."
"https://www.gov.uk/government/publications/how-driving-instructors-view-and-use-mock-driving-tests-2023-survey-results","2023-06-09T09:07:11Z","How driving instructors view and use mock driving tests: 2023 survey results","A summary of research carried out with driving instructors in February 2023 to find out how they view and use mock driving tests."
"https://www.gov.uk/government/publications/health-protection-report-volume-17-2023","2023-06-08T08:30:04Z","Health Protection Report volume 17 (2023)","A national public health bulletin for England and Wales from the UK Health Security Agency (UKHSA). "
"https://www.gov.uk/government/statistics/universal-credit-work-capability-assessment-april-2019-to-march-2023","2023-06-08T08:30:01Z","Universal Credit Work Capability Assessment, April 2019 to March 2023","Official experimental statistics on the number of people on Universal Credit with a health condition or disability restricting their ability to work.

"
"https://www.gov.uk/government/statistics/esa-outcomes-of-work-capability-assessments-including-mandatory-reconsiderations-and-appeals-june-2023","2023-06-08T08:30:01Z","ESA: outcomes of Work Capability Assessments including mandatory reconsiderations and appeals: June 2023","Outcomes of Employment and Support Allowance (ESA) Work Capability Assessments, including mandatory reconsiderations and appeals information.
"
"https://www.gov.uk/government/statistics/operation-of-police-powers-under-the-terrorism-act-2000-quarterly-update-to-march-2023","2023-06-08T08:30:01Z","Operation of police powers under the Terrorism Act 2000, quarterly update to March 2023","Contains statistical material relating to the Terrorism Act 2000, including arrests and outcomes, and stops and searches."
"https://www.gov.uk/government/statistics/restart-scheme-statistics-to-april-2023","2023-06-08T08:30:01Z","Restart Scheme statistics to April 2023","Experimental statistics with data from July 2021 to the end of April 2023."
"https://www.gov.uk/government/statistics/mental-health-services-monthly-statistics-performance-march-provisional-april-2023","2023-06-08T08:30:00Z","Mental Health Services Monthly Statistics, Performance March, Provisional April 2023","This publication provides the most timely statistics available relating to NHS funded secondary mental health, learning disabilities and autism services in England. This information will be of use to people needing access to…"
"https://www.gov.uk/government/publications/zero-emission-bus-regional-areas-scheme-interim-evaluation","2023-06-07T09:00:00Z","Zero emission bus regional areas scheme: interim evaluation","This report outlines the findings from the pre-implementation phase of zero-emission buses, which is part of the ZEBRA scheme. "
"https://www.gov.uk/government/statistics/community-services-statistics-march-2023","2023-06-06T08:30:02Z","Community Services Statistics, March 2023","This publication reports information from the CSDS. This is a patient-level dataset providing information relating to NHS-funded community services. These services can include health centres, schools and mental health trusts…"
"https://www.gov.uk/government/publications/tampon-tax-fund-evaluation","2023-06-06T08:00:06Z","Tampon Tax Fund evaluation","A retrospective process and impact <mark>evaluation</mark> of the Tampon Tax Fund from 2016-2022."
"https://www.gov.uk/government/publications/banning-of-various-single-use-plastic-sup-products-rpc-opinions-green-rated","2023-06-05T14:40:36Z","Banning of various single-use plastic (SUP) products: RPC Opinions (Green-rated)","Regulatory Policy Committee opinion on Defra&#x27;s Banning of various single-use plastic (SUP) products IAs"
"https://www.gov.uk/government/publications/air-quality-onboard-trains-a-response-to-the-rail-safety-and-standards-board-report","2023-06-05T08:30:03Z","Air quality onboard trains: a response to the Rail Safety and Standards Board report","DfT Science Advisory Council response to the Rail Safety and Standards Board (RSSB) report on the analysis of air quality on board trains."
"https://www.gov.uk/government/publications/low-carbon-transport-fuels-dft-science-advisory-council-position-paper","2023-06-05T08:30:03Z","Low carbon transport fuels: DfT Science Advisory Council position paper","Identifying the major challenges and uncertainties that need to be resolved to accelerate cost-effective decarbonisation of transport."
"https://www.gov.uk/government/publications/share-schemes-evaluation","2023-06-05T08:30:00Z","Share Schemes Evaluation","HMRC commissioned London Economics to <mark>evaluate</mark> Company Share Option Plan, Save As You Earn and Share Incentive Plan tax-advantaged employee share schemes."
"https://www.gov.uk/government/publications/avian-influenza-influenza-a-h5n1-technical-briefings","2023-06-02T14:32:21Z","Avian influenza (influenza A H5N1): technical briefings","Technical briefing documents on the investigation into the risk to human health of avian influenza (influenza A H5N1) in England."
"https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2021-to-2022","2023-06-01T11:53:57Z","Meningococcal disease: laboratory-confirmed cases in England in 2021 to 2022","Laboratory-confirmed cases of invasive meningococcal disease reported to the enhanced meningococcal surveillance programme in England."
"https://www.gov.uk/government/publications/place-based-social-action-phase-2-evaluation-report","2023-06-01T11:00:03Z","Place Based Social Action: Phase 2 evaluation report","This report presents findings from Phase 2 of the Place Based Social Action Programme, from January 2019 to January 2022."
"https://www.gov.uk/government/statistics/milk-utilisation-by-dairies-in-england-and-wales","2023-06-01T08:30:03Z","Latest statistics on milk utilisation by dairies - national statistics","Monthly statistics on the volume of milk used by dairies."
"https://www.gov.uk/government/statistics/historical-national-statistics-notices-on-milk-utilisation-by-dairies-2023","2023-06-01T08:30:03Z","Historical national statistics notices on milk utilisation by dairies, 2023","Previously published copies of the monthly National Statistics publication on the volume of milk used by dairies."
"https://www.gov.uk/government/publications/evaluation-of-the-children-of-alcohol-dependent-parents-programme-innovation-fund","2023-06-01T08:30:02Z","Evaluation of the Children of Alcohol Dependent Parents programme innovation fund","The national <mark>evaluation</mark> of the Children of Alcohol Dependent Parents (CADeP) programme innovation fund by the Tavistock Institute of Human Relations.…"
"https://www.gov.uk/government/statistics/english-housing-survey-local-authority-housing-stock-condition-modelling-2019","2023-06-01T08:30:02Z","English Housing Survey: local authority housing stock condition modelling, 2019","A new Experimental Official Statistics series that provides sub-regional estimates of housing stock condition (Decent Homes and HHSRS Category 1 hazards)."
"https://www.gov.uk/government/statistics/civil-justice-statistics-quarterly-january-to-march-2023","2023-06-01T08:30:02Z","Civil justice statistics quarterly: January to March 2023","Volume of civil and judicial review cases dealt with by the courts over time and the overall timeliness of these cases. Also includes annual data on activity in the Royal Courts of Justice."
"https://www.gov.uk/government/publications/addressing-the-cost-of-pilot-training","2023-05-31T11:34:00Z","Addressing the cost of pilot training","Explores solutions to finance as a barrier to entering the pilot profession in the UK."
"https://www.gov.uk/government/publications/evaluating-the-impact-of-the-2017-stamp-duty-land-tax-first-time-buyers-relief","2023-05-30T23:01:03Z","Evaluating the impact of the 2017 Stamp Duty Land Tax First Time Buyers’ Relief","This report estimates the transaction and price impacts of the 2017 First Time Buyers’  Relief from November 2017 to November 2018."
"https://www.gov.uk/government/publications/environmental-public-health-surveillance-system","2023-05-26T12:30:02Z","Environmental public health tracking","An environmental public health surveillance system that helps collect and collate environmental hazard and health outcome data."
"https://www.gov.uk/government/publications/commercial-clinical-trials-in-the-uk-the-lord-oshaughnessy-review","2023-05-26T11:09:37Z","Commercial clinical trials in the UK: the Lord O’Shaughnessy review","Final report of the independent review of UK commercial clinical trials, and government response. "
"https://www.gov.uk/government/publications/mental-health-and-wellbeing-practices-in-higher-education","2023-05-25T09:00:01Z","Mental health and wellbeing practices in higher education","A study of the institutional policies and practices of higher education (HE) providers to support student mental health and wellbeing."
"https://www.gov.uk/government/statistics/total-factor-productivity-of-the-agricultural-industry","2023-05-25T08:30:11Z","Total factor productivity of the agricultural industry","Annual statistics giving an indicator of the long-term performance of the UK agricultural industry."
"https://www.gov.uk/government/statistics/england-biodiversity-indicators","2023-05-25T08:30:10Z","England biodiversity indicators","A strategy for England’s wildlife and ecosystem services, Biodiversity indicators: 2022 assessment.

"
"https://www.gov.uk/government/statistics/total-income-from-farming-in-the-uk","2023-05-25T08:30:09Z","Total income from farming in the UK","Annual statistics on &#x27;Total Income from Farming&#x27;, a measure of the performance of the UK agricultural industry.
"
"https://www.gov.uk/government/statistics/main-tax-expenditures-and-structural-reliefs","2023-05-25T08:30:06Z","Non-structural tax reliefs","Estimated costs and unavailable costs of non-structural tax reliefs."
"https://www.gov.uk/government/publications/work-coach-provision-of-employment-support","2023-05-25T08:30:06Z","Work Coach provision of employment support","This report summarises research into how well Work Coaches were able to provide and refer to employment support in 2021 and 2022."
"https://www.gov.uk/government/statistics/historic-statistics-notices-on-total-income-from-farming-in-the-united-kingdom","2023-05-25T08:30:05Z","Historical statistics notices on Total Income from Farming in the United Kingdom","Previously published copies of the National Statistics publication on &#x27;Total Income from Farming&#x27;, a measure of the performance of the UK agricultural industry. "
"https://www.gov.uk/government/statistics/historic-statistics-notices-on-total-factor-productivity-of-the-agricultural-industry","2023-05-25T08:30:05Z","Historical statistics notices on total factor productivity of the agricultural industry","Previous editions of the total factor productivity of agriculture in the United Kingdom statistical notices."
"https://www.gov.uk/government/statistics/maternity-services-monthly-statistics-february-2023-experimental-statistics","2023-05-25T08:30:03Z","Maternity Services Monthly Statistics, February 2023, experimental statistics","Monthly publication of statistics from the Maternity Services Data Set."
"https://www.gov.uk/government/publications/low-pay-commission-research-2021","2023-05-24T08:00:01Z","Low Pay Commission research 2021","This page contains the research reports commissioned by the Low Pay Commission which were used to inform our 2021 Report."
"https://www.gov.uk/government/publications/dbt-areas-of-research-interest","2023-05-23T11:00:00Z","DBT areas of research interest","Department for Business and Trade’s (DBT) list of trade and investment research questions for research partners who have expertise in these areas."
"https://www.gov.uk/government/statistics/dwelling-stock-estimates-in-england-2022","2023-05-23T08:30:02Z","Dwelling stock estimates in England: 2022","Estimates of the number of dwellings in England."
"https://www.gov.uk/government/statistics/farm-household-income","2023-05-23T08:30:02Z","Farm Household Income","Estimates of Farm Household Income and the proportion contributed from income not related to the farm business (Off-Farm Income). "
"https://www.gov.uk/government/statistics/hm-prison-and-probation-service-workforce-quarterly-march-2023","2023-05-22T14:16:17Z","HM Prison and Probation Service workforce quarterly: March 2023","Staffing numbers of directly employed staff of the HM Prison and Probation Service."
"https://www.gov.uk/government/publications/state-of-the-water-environment-indicator-b3-supporting-evidence","2023-05-22T07:00:01Z","State of the water environment indicator B3: supporting evidence","This evidence summary supports the 25 Year Environment Plan and its outcome indicator framework."
"https://www.gov.uk/government/publications/independent-person-report-on-the-windrush-compensation-scheme","2023-05-19T12:11:54Z","Independent Person report on the Windrush Compensation Scheme","Reports on the Windrush Compensation Scheme by Martin Levermore, the Independent Person to the Windrush Compensation Scheme."
"https://www.gov.uk/government/statistics/trade-and-investment-core-statistics-book","2023-05-19T08:30:01Z","Trade and investment core statistics book","The most up to date snapshot of the UK’s trade and investment position, summarising trade statistics produced by ONS, HMRC, DIT and others."
"https://www.gov.uk/government/publications/cyber-explorers-pilot-evaluation","2023-05-18T14:00:19Z","Cyber Explorers pilot evaluation","Research report covering findings from the pilot of the Cyber Explorers programme."
"https://www.gov.uk/government/publications/upskill-in-cyber-pilot-evaluation","2023-05-18T13:59:22Z","Upskill in Cyber pilot evaluation","Research report covering findings from the pilot of the Adult Skills ‘Upskill in Cyber’ programme."
"https://www.gov.uk/government/publications/covid-19-self-isolation-early-release-using-lfd-tests","2023-05-18T08:34:09Z","COVID-19 self-isolation: early release using LFD tests","Results of the policy to minimise time spent in self-isolation after a positive SARS-CoV-2 test result."
"https://www.gov.uk/government/statistics/learning-disability-services-monthly-statistics-at-april-2023-mhsds-february-2023-final","2023-05-18T08:30:08Z","Learning Disability Services Monthly Statistics, AT: April 2023, MHSDS: February 2023 Final","Latest Monthly statistics from the Assuring Transformation collection and MHSDS collection."
"https://www.gov.uk/government/statistics/mortgage-and-landlord-possession-statistics-january-to-march-2023","2023-05-18T08:30:00Z","Mortgage and Landlord Possession statistics: January to March 2023","Quarterly National Statistics on possession claim actions in county courts by mortgage lenders and social and private landlords."
"https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-december-2022","2023-05-18T08:30:00Z","Criminal Justice System statistics quarterly: December 2022","Trends in the use of out of court disposals, defendants prosecuted, offenders convicted, remand and sentencing decisions in England and Wales."
"https://www.gov.uk/government/publications/longer-semi-trailer-trial-evaluation-annual-report-2021","2023-05-17T11:45:01Z","Longer semi-trailer trial evaluation: annual report 2021","Summary of research and findings from year 9 of the longer semi-trailer (LST) trial <mark>evaluation</mark>."
"https://www.gov.uk/government/publications/meningococcal-disease-laboratory-confirmed-cases-in-england-in-2022-to-2023","2023-05-17T08:30:04Z","Meningococcal disease: laboratory-confirmed cases in England in 2022 to 2023","Laboratory-confirmed cases of invasive meningococcal disease reported to the enhanced meningococcal surveillance programme in England."
"https://www.gov.uk/government/statistics/economic-estimates-gva-for-dcms-sectors-and-the-digital-sector-2020","2023-05-17T08:30:04Z","Economic Estimates: GVA for DCMS Sectors and the Digital Sector, 2020","National Statistics used to provide an estimate of the contribution of DCMS Sectors and Digital Sector to the UK economy, measured by GVA (gross value added)."
"https://www.gov.uk/government/publications/evaluation-of-the-2-bus-fare-cap","2023-05-16T23:15:13Z","Evaluation of the £2 bus fare cap","Interim report of the £2 bus fare cap."
"https://www.gov.uk/government/statistics/fostering-in-england-1-april-2021-to-31-march-2022","2023-05-16T15:54:07Z","Fostering in England 1 April 2021 to 31 March 2022","Fostering in England statistics for the period 1 April 2021 to 31 March 2022."
"https://www.gov.uk/government/publications/report-on-the-proposed-refugee-housing-programme-scheme-by-the-greater-london-authority","2023-05-16T09:30:00Z","Report on the proposed Refugee Housing Programme scheme by the Greater London Authority","The SAU has published its report prepared in response to a request from the Greater London Authority concerning the proposed Refugee Housing Programme scheme."
"https://www.gov.uk/government/publications/pirls-2021-reading-literacy-performance-in-england","2023-05-16T08:00:04Z","PIRLS 2021: reading literacy performance in England","Findings from the progress in international reading literacy study (PIRLS) 2021, assessing and comparing the reading attainment and attitudes of year 5 children."
"https://www.gov.uk/government/statistics/family-resources-survey-financial-year-2020-to-2021","2023-05-12T15:20:23Z","Family Resources Survey: financial year 2020 to 2021","Results from the Family Resources Survey for the financial year 2020 to 2021, providing information on income and circumstances of UK households."
"https://www.gov.uk/government/statistics/overseas-trade-statistics-methodologies","2023-05-12T08:30:03Z","Overseas trade statistics: methodologies","These documents cover all aspects of the Overseas Trade Statistics &#x2F; Regional Trade Statistics methodologies."
"https://www.gov.uk/government/publications/report-on-the-proposed-subsidy-to-the-english-national-opera-by-the-arts-council-of-england","2023-05-11T10:03:35Z","Report on the proposed subsidy to the English National Opera by The Arts Council of England","The SAU has published its report prepared in response to a request from The Arts Council of England concerning its proposed subsidy to the English National Opera."
"https://www.gov.uk/government/publications/grassroots-sport-facilities-investment-evaluating-the-impact","2023-05-11T09:53:29Z","Grassroots sport facilities investment: evaluating the impact","This feasibility report provides DCMS and key partners with options for <mark>evaluating</mark> the impact of UK government investment into grassroots sports facilities from 2022 to 2025.…"
"https://www.gov.uk/government/publications/reducing-reoffending-package-process-evaluation","2023-05-11T09:00:00Z","Reducing Reoffending Package Process Evaluation","This report provides findings from a process <mark>evaluation</mark> covering 3 strands of investment in programmes aimed at reducing reoffending."
"https://www.gov.uk/government/statistics/uk-farm-animal-genetic-resources-fangr-breed-inventory-results","2023-05-11T08:30:05Z","UK farm animal genetic resources (FAnGR): breed inventory results","Annual statistics on farm animal genetic resources in the United Kingdom."
"https://www.gov.uk/government/statistics/strategic-export-controls-licensing-statistics-1-january-to-31-march-2022","2023-05-11T08:30:02Z","Strategic export controls: licensing statistics: 1 January to 31 March 2022","Export control licensing data for 1 January to 31 March 2022."
"https://www.gov.uk/government/statistics/strategic-export-controls-licensing-statistics-1-october-to-31-december-2021","2023-05-11T08:30:02Z","Strategic export controls: licensing statistics: 1 October to 31 December 2021","Export control licensing data for 1 October to 31 December 2021."
"https://www.gov.uk/government/statistics/strategic-export-controls-licensing-statistics-1-july-to-30-september-2021","2023-05-11T08:30:02Z","Strategic export controls: licensing statistics: 1 July to 30 September 2021","Export control licensing data for 1 July to 30 September 2021."
"https://www.gov.uk/government/statistics/strategic-export-controls-licensing-statistics-1-january-to-31-march-2021","2023-05-11T08:30:02Z","Strategic export controls: licensing statistics 1 January to 31 March 2021","Export control licensing data for 1 January to 31 March 2021."
"https://www.gov.uk/government/statistics/strategic-export-controls-licensing-statistics-1-april-to-30-june-2021","2023-05-11T08:30:02Z","Strategic export controls: licensing statistics: 1 April to 30 June 2021","Export control licensing data for 1 April to 30 June 2021."
"https://www.gov.uk/government/statistics/strategic-export-controls-licensing-statistics-1-april-to-30-june-2022","2023-05-11T08:30:02Z","Strategic export controls: licensing statistics: 1 April to 30 June 2022","Export control licensing data for 1 April to 30 June 2022."
"https://www.gov.uk/government/statistics/fraud-and-error-in-the-benefit-system-financial-year-2022-to-2023-estimates","2023-05-11T08:30:01Z","Fraud and error in the benefit system: financial year 2022 to 2023 estimates","Estimates of fraud and error levels in the benefit system in Great Britain in the financial year 2022 to 2023."
"https://www.gov.uk/government/statistics/strategic-export-controls-licensing-statistics-1-july-to-30-september-2022","2023-05-11T08:30:01Z","Strategic export controls: licensing statistics: 1 July to 30 September 2022","Export control licensing data for 1 July to 30 September 2022"
"https://www.gov.uk/government/statistics/strategic-export-controls-licensing-statistics-1-october-to-31-december-2022","2023-05-11T08:30:00Z","Strategic export controls: licensing statistics: 1 October to 31 December 2022","Export control licensing data for 1 October to 31 December 2022"
"https://www.gov.uk/government/statistics/mental-health-services-monthly-statistics-performance-february-provisional-march-2023","2023-05-11T08:30:00Z","Mental Health Services Monthly Statistics, Performance February, Provisional March 2023","This publication provides the most timely statistics available relating to NHS funded secondary mental health, learning disabilities and autism services in England. This information will be of use to people needing access to…"
"https://www.gov.uk/government/publications/lower-benefit-cap-quantitative-analysis-of-outcomes-of-capped-households","2023-05-11T08:28:35Z","Lower benefit cap: quantitative analysis of outcomes of capped households","The report assesses the quantitative impact of the lower benefit cap on household’s employment, exempting benefit and housing outcomes."
"https://www.gov.uk/government/statistics/statutory-homelessness-in-england-october-to-december-2022","2023-05-10T00:00:00Z","Statutory homelessness in England: October to December 2022","Official statistics on statutory homelessness applications, duties, and outcomes for local authorities in England."
"https://www.gov.uk/government/publications/teachers-professional-development-in-schools-phase-1-findings","2023-05-09T23:00:00Z","Teachers’ professional development in schools: phase 1 findings","An independent review of teachers’ and leaders’ professional development since April 2021."
"https://www.gov.uk/government/publications/help-to-grow-management-evaluation-reports","2023-05-09T08:30:00Z","Help to Grow: Management – evaluation reports","A series of reports presenting findings from the independent <mark>evaluation</mark> of Help to Grow: Management.…"
"https://www.gov.uk/government/publications/the-terrorism-acts-in-2021","2023-05-05T10:36:32Z","The Terrorism Acts in 2021","Annual report by the Independent Reviewer of Terrorism Legislation on the operation of the terrorism acts in 2021."
"https://www.gov.uk/government/publications/monitoring-and-evaluating-the-new-pro-competition-regime-for-digital-markets","2023-05-04T11:20:51Z","Monitoring and evaluating the new pro-competition regime for digital markets","Framework for monitoring and <mark>evaluating</mark> the pro-competition regime and the Digital Markets Unit (DMU) which will oversee it."
"https://www.gov.uk/government/statistics/community-services-statistics-february-2023","2023-05-03T08:30:02Z","Community Services Statistics, February 2023","This publication reports information from the CSDS. This is a patient-level dataset providing information relating to NHS-funded community services. These services can include health centres, schools and mental health trusts…"
"https://www.gov.uk/government/publications/economic-crime-survey-2020","2023-05-03T08:30:02Z","Economic Crime Survey 2020","Key findings from the 2020 Economic Crime Survey (ECS) - a sample survey on the extent, nature and impacts of fraud and corruption experienced by businesses."
"https://www.gov.uk/government/publications/martyns-law-rpc-opinion-red-rated","2023-05-02T12:59:56Z","Martyn's Law: RPC Opinion (Red-rated)","Regulatory Policy Committee opinion on the Home Office&#x27;s Martyn&#x27;s Law&#x2F;Protect Duty IA"
"https://www.gov.uk/government/publications/hmrc-evaluation-list","2023-04-27T12:34:55Z","HMRC evaluation list","A list of planned <mark>evaluation</mark> publications from HMRC."
"https://www.gov.uk/government/statistics/justice-data-lab-statistics-april-2023","2023-04-27T12:09:04Z","Justice Data Lab statistics: April 2023","Tailored reports assessing the impact on rehabilitation programmes on reoffending behaviour analysed within the previous quarter, and summary of results to date."
"https://www.gov.uk/government/statistics/tuberculosis-in-england-national-quarterly-reports","2023-04-27T08:30:15Z","Tuberculosis in England: national quarterly reports","The latest quarterly reports of provisional data for tuberculosis (TB) notifications in England."
"https://www.gov.uk/government/publications/testing-for-covid-19-using-saliva-case-studies-in-vulnerable-settings","2023-04-27T08:30:11Z","Testing for COVID-19 using saliva: case studies in vulnerable settings","Results of pilots carried out to assess the value of saliva sampling for coronavirus (COVID-19) testing."
"https://www.gov.uk/government/publications/covid-19-monitoring-temperatures-of-sars-cov-2-pcr-samples-via-royal-mail","2023-04-27T08:30:10Z","COVID-19: monitoring temperatures of SARS-CoV-2 PCR samples via Royal Mail","The National Testing Programme validated polymerase chain reaction (PCR) kits using spike-in virus samples to test how long a sample could remain in transit."
"https://www.gov.uk/government/statistics/maternity-services-monthly-statistics-january-2023-experimental-statistics","2023-04-27T08:30:09Z","Maternity Services Monthly Statistics, January 2023, experimental statistics","Monthly publication of statistics from the Maternity Services Data Set."
"https://www.gov.uk/government/publications/lateral-flow-device-performance-data","2023-04-27T08:30:09Z","Lateral flow device (LFD) performance data","LFDs have proved vital for detecting SARS-CoV-2 when it is most infectious. This has remained true with new variants including Alpha, Delta and Omicron."
"https://www.gov.uk/government/publications/covid-19-nhs-workforce-repeat-asymptomatic-testing-evaluation","2023-04-27T08:30:09Z","COVID-19: NHS workforce repeat asymptomatic testing evaluation","Understanding the impact of repeat routine lateral flow device (LFD) testing of asymptomatic NHS staff in the secondary care patient-facing NHS workforce during the COVID-19 pandemic."
"https://www.gov.uk/government/statistics/sub-regional-fuel-poverty-2023-2021-data","2023-04-27T08:30:00Z","Sub-regional fuel poverty 2023 (2021 data)","Experimental statistics on sub-regional fuel poverty."
"https://www.gov.uk/government/statistics/energy-performance-of-building-certificates-in-england-and-wales-january-to-march-2023","2023-04-27T08:30:00Z","Energy Performance of Building Certificates in England and Wales: January to March 2023","Experimental statistics on Energy Performance of Buildings Certificates in England and Wales."
"https://www.gov.uk/government/statistics/incorporated-companies-in-the-united-kingdom-january-to-march-2023","2023-04-27T08:30:00Z","Incorporated Companies in the United Kingdom January to March 2023","Quarterly release providing information about the number of companies on the register, newly incorporated companies, and removals from the register."
"https://www.gov.uk/government/publications/uk-reach-extending-data-submission-deadlines-rpc-opinion-green-rated","2023-04-26T12:25:25Z","UK REACH: Extending data submission deadlines: RPC Opinion (Green-rated)","Regulatory Policy Committee opinion on Defra&#x27;s UK REACH: Extending data submission deadlines IA"
"https://www.gov.uk/government/publications/cover-of-vaccination-evaluated-rapidly-cover-programme-annual-data","2023-04-26T10:26:14Z","Cover of vaccination evaluated rapidly (COVER) programme: annual data","England annual data on coverage achieved by the childhood immunisation programme."
