"documents","keywords"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1027356/Evaluation_of_the_Modern_Electoral_Registration_Programme_2021_Report.pdf","evaluation, survey, impact, focus group, interview, polling, experimental"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1028407/emerging-infections-summary-september-2021.pdf","monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1028588/20210921_emerging_infections_summary_August.pdf","monitoring, case study"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1035418/emerging-infections-summary-october-2021.pdf","monitoring, impact, systematic review, evaluation, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1039339/2021_IDR_Targets_for_the_NLW.pdf","impact, interview, case study, performance, realist, monitoring, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1039345/Brunel_Exeter_Report_LPC_final_AG_MDFG_Dec__2021__1_.pdf","impact, survey, evaluation, experimental"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1039368/Clark_Cotofan_Layard_LPC_Report_FINAL.pdf","impact, survey, interview, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1039374/IFS_WP202148-The-distributional-and-employment-impacts-of-nationwide-Minimum-Wage-changes.pdf","impact, simulation, survey, case study, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1044412/20211229_Emerging-infections-summary-November.pdf","monitoring, impact, experimental, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050499/20220126-emerging-infections-summary-December-2021.pdf","monitoring, survey, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1053367/Hiring_Behaviour_and_the_National_Minimum_Wage.pdf","survey, impact, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1055985/TB_Quarterly_Reports_SOP_v2.2.pdf","interview"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1056185/FINAL-HPR0322-PRTSSS-vc-Q2_21022022.pdf","survey, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1058734/12a_Animal_genetic_resources_revised_v2.pdf","survey, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1058737/12a_TB_Animal_Genetic_Resources_revised_v2.pdf","survey, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1058739/Quarterly_Epidemiological_Commentary_July_September_2021.pdf","impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1059198/20220307_EPHSS-routine-surveillance-report-2020-to-2021-final.pdf","case study, impact, monitoring, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1061785/hpr0422_prtsss-vc.pdf","survey, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1062005/emerging-infections-summary-January-2022.pdf","monitoring, impact, systematic review"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1066717/quarterly-epidemiological-commentary-bacteraemia-infections-april-2022.pdf","impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1067959/reducing-parental-conflict-summary.pdf","evaluation, impact, survey, interview"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1069510/Quarterly_Report_Q1_2022_250422.pdf","interview, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1069763/emerging-infection-summary-February-2022.pdf","monitoring, systematic review"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1086097/urban-observatories-sensor-report.pdf","monitoring, performance, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1086099/economic-data-innovation-fund-metadata-data-models-and-interoperability-summary-paper.pdf","monitoring, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1086100/economic-data-innovation-fund-towards-a-digital-twin-for-transport-sensor-catalogue-executive-summary.pdf","monitoring, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1086101/economic-data-innovation-fund-towards-a-digital-twin-for-transport-stakeholder-brief.pdf","impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1086102/economic-data-innovation-fund-towards-a-digital-twin-for-urban-transport-report-and-blueprint.pdf","monitoring, simulation, impact, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1094027/TB-quarterly-report-Q2-2022.pdf","interview, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1095102/OS0057_UK_Safety_Tech_Analysis_2022_Online_v4__2_.pdf","performance, survey, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1101067/process-evaluation-of-transport-data-projects.pdf","evaluation, impact, case study, interview, monitoring, performance, survey, experimental, realist"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1106398/hpr1022_COVER2.pdf","evaluation, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1110369/18_Climate_change_impacts_spring_index_rev.pdf","impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1112123/the-report-independent-inquiry-into-child-sexual-abuse-october-2022.pdf","impact, survey, case study, consultative, monitoring, performance, interview, focus group, realist, rapid evidence assessment, evaluation, simulation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1112128/20pt-ELAY-vol1-the-report-independent-inquiry-into-child-sexual-abuse-october-2022.pdf","impact, survey, case study, consultative, monitoring, performance, rapid evidence assessment, interview, focus group, realist, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1112129/20pt-ELAY-vol2-the-report-independent-inquiry-into-child-sexual-abuse-october-2022.pdf","impact, survey, realist, case study, monitoring, interview, performance, rapid evidence assessment, evaluation, focus group, consultative, simulation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1121707/LFD_Performance_within_the_NTP_Report.pdf","evaluation, performance, monitoring, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1123274/5._Species_in_the_wider_countryside_farmland_2022_final.pdf","monitoring, impact, survey, experimental, simulation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1123275/6._Species_in_the_wider_countryside_woodland_2022_final.pdf","monitoring, impact, experimental, survey, simulation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1123276/Technical_background_document_for_assessing_change_in_the_England_Butterfly_Indicators.pdf","monitoring, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1123278/10_Pollinators_TB_accessible.pdf","survey, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1123281/Technical_background_-_Funding_for_biodiversity.pdf","impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1123307/19_Pollution_air_and_marine_2022_finalv2.pdf","monitoring, impact, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1123308/Technical_Background_-_Advice_on_the_trends_in_acidity_and_nutrient_nitrogen_critical_load_exceedance.pdf","monitoring, evaluation, experimental"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1124024/Technical_background_-_sustainable_consumption.pdf","experimental, impact, evaluation, simulation, rct, survey, realist"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1128093/20221222_Global_Accounts_2022.pdf","performance, impact, survey, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1128782/Coronavirus_Vaccine_-_Summary_of_Yellow_Card_reporting_23.11.2022_final.pdf","monitoring, impact, evaluation, rct"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1138068/omicron-report-version-6.pdf","performance, evaluation, monitoring, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1138424/evaluation_of_the_energy_entrepreneurs_fund.pdf","evaluation, impact, monitoring, cost benefit analysis, survey, interview, case study, qualitative comparative analysis, cost effectiveness analysis, performance, qca, realist"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1138436/evaluation_of_the_energy_entrepreneurs_fund_technical_annex.pdf","evaluation, impact, interview, case study, qualitative comparative analysis, experimental, monitoring, realist evaluation, realist, performance, survey, qca, cost benefit analysis"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1139334/evaluation_of_phase_2_of_the_modern_energy_partners_programme_final_report.pdf","evaluation, impact, interview, monitoring, performance, survey, realist"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1139335/evaluation_of_phase_2_of_the_modern_energy_partners_annex_a_methods.pdf","evaluation, impact, interview, monitoring, survey, performance, deliberative, case study, cost benefit analysis"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1139336/evaluation_of_phase_2_of_the_modern_energy_partners_annex_b_case_studies.pdf","evaluation, monitoring, survey, interview, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1139337/evaluation_of_phase_2_of_the_modern_energy_partners_annex_c_differences.pdf","evaluation, monitoring, impact, interview, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1139367/green_home_finance_innovation_fund_evaluation_process_evaluation_report_annexes.pdf","evaluation, impact, contribution analysis, interview, survey, monitoring, performance, experimental, quasi experimental, bayesian updating, theory based, case study"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1139369/evaluation_of_hy4heat_final_report.pdf","evaluation, impact, monitoring, performance, contribution analysis, interview, cost effectiveness analysis, realist, experimental, cost benefit analysis"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1139372/hy4heat_evaluation_annex_a_evaluation_plan_and_methods.pdf","evaluation, case study, monitoring, interview, cost effectiveness analysis, impact, contribution analysis, performance, realist, cost benefit analysis, focus group, survey, experimental, bayesian updating"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1139377/hy4heat_evaluation_annex_c_hy4heat_investment_and_patent_trends.pdf","evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1139378/hy4heat_evaluation_annex_B_case_studies_of_international_hydrogen_for_heating_programmes.pdf","evaluation, case study, realist, impact, experimental, survey, performance, simulation, interview"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1139382/hy4heat_evaluation_annex_D_process_tracing_results.pdf","evaluation, interview, contribution analysis, impact, performance, survey, cost effectiveness analysis"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1139581/Environment_Agency_Chief_Scientist_s_annual_review_2022.pdf","impact, evaluation, monitoring, survey, performance, rct"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1140238/ACMD_Nitrous_Oxide_Report_Cover_Letter__002_.pdf","impact, monitoring, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1140251/ACMD_Nitrous_Oxide_Report_06_March.pdf","impact, monitoring, survey, evaluation, experimental, systematic review"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1140556/green_home_finance_innovation_fund_evaluation_process_evaluation.pdf","evaluation, monitoring, impact, interview, performance, survey, contribution analysis"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1140708/Value_for_money_metrics_and_reporting_-_Annex_to_Global_Accounts_2022.pdf","performance, impact, monitoring, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1140911/E02876111_Terrorism_Acts_in_2021_Accessible.pdf","impact, monitoring, survey, interview, case study, realist, evaluation, systematic review"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1140924/Supporting_Families_Annual_Report_2023.pdf","case study, evaluation, survey, impact, performance, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1140932/E02876111_Terrorism_Acts_in_2021_TEXT_V02_PRINT.pdf","impact, monitoring, survey, interview, case study, realist, evaluation, systematic review"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1140945/Coronavirus_Vaccine-Summary_of_Yellow_Card_reporting_autumnupdate_DLP20230222.pdf","monitoring, impact, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1140983/Economic_Research_Strategy.pdf","impact, evaluation, performance, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1142002/incentivising-SME-uptake-of-health-and-wellbeing-schemes-report.pdf","survey, impact, interview, experimental, monitoring, realist, simulation, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1142437/incentivising-SME-uptake-of-health-and-wellbeing-schemes-summary.pdf","survey, interview, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1142745/recycled-materials-in-consumer-products-main-report.pdf","impact, evaluation, survey, interview, focus group, realist, monitoring, performance, case study, systematic review, rct"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1142747/recycled-materials-in-consumer-products-technical-annex.pdf","impact, performance, evaluation, survey, realist, monitoring, interview"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1143767/SARS-CoV-2-testing-using-LFD-evidence-from-performance-data-part-2.pdf","performance, evaluation, impact, survey, rct, interview, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1144331/A_-_Office_for_the_Internal_Market_-_Periodic_Report_2023__002_.pdf","monitoring, impact, interview, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1144466/Incentivising_SME_uptake_of_health_and_wellbeing_support_schemes_-_survey_questionnaire.pdf","interview, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1144601/the-impact-of-remote-hearings-on-the-crown-court.pdf","impact, evaluation, survey, propensity score matching, quasi experimental, randomised control trial, experimental, instrumental variables, focus group, realist"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1145006/Early_career_framework_evaluation_interim_research_brief_2022.pdf","evaluation, survey, performance, realist, impact, interview"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1145219/extremism-risk-guidance-22+.pdf","performance, evaluation, interview, monitoring, simulation, systematic review"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1145399/dwp-covid-19-employer-pulse-survey-final-report.pdf","survey, monitoring, interview, impact, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1145427/hmcts-reform-moj-evaluation-progress-report.pdf","evaluation, survey, interview, rapid evidence assessment, impact, rct, randomised control trial, experimental, monitoring, contribution analysis, theory based"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1145428/hmcts-reform-moj-evaluation-progress-report-technical-appendix.pdf","evaluation, impact, randomised control trial, rct, experimental, monitoring, survey, contribution analysis, performance, rapid evidence assessment, realist evaluation, theory based, interview"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1145582/artifical_intelligence_sector_study.pdf","monitoring, evaluation, survey, interview, experimental, performance, case study, rct"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1145963/Nitrous_Oxide_letter_to_ACMD_-_March_2023_-_FINAL__003___003_.pdf","survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1145971/The_Additionality_of_Housing_Supply_Interventions.pdf","case study, impact, evaluation, interview, monitoring, survey, performance, simulation, cost benefit analysis, cost effectiveness analysis, randomised control trial, systematic review, difference in difference, propensity score matching, rct, regression discontinuity, experimental"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146168/1._Environmental_risk_evaluation_report_Perfluoropropane.pdf","evaluation, impact, experimental, monitoring, simulation, rct, performance, realist"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146169/2._Environmental_risk_evaluation_report_Hexafluoropropene.pdf","evaluation, impact, experimental, monitoring, simulation, rct, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146172/3._Environmental_risk_evaluation_report_Perflunafene.pdf","evaluation, impact, monitoring, experimental, rct, realist, survey, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146173/4._Environmental_risk_evaluation_report_Perfluoroisohexane.pdf","evaluation, impact, monitoring, experimental, realist, simulation, rct, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146176/5._Environmental_risk_evaluation_report_Trideca-1_1_1_2_2_3_3_4_4_5_5_6_6-fluorohexane.pdf","evaluation, impact, simulation, experimental, monitoring, performance, realist, rct"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146179/6._Environmental_risk_evaluation_report_1_1_1_2_2_3_3-Heptafluoro-3-__trifluorovinyl_oxy_propane.pdf","evaluation, impact, simulation, monitoring, experimental, realist, rct, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146181/7._Environmental_risk_evaluation_report_3_3_4_4_5_5_6_6_6-Nonafluorohexene.pdf","evaluation, impact, simulation, monitoring, experimental, performance, rct"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146182/8._Environmental_risk_evaluation_report_Perfluoro_2-ethoxy-2-fluoroethoxy_-acetic_acid__ammonium_salt.pdf","evaluation, impact, monitoring, simulation, experimental, performance, realist, rct, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146183/9._Environmental_risk_evaluation_report_Potassium_9-chlorohexadecafluoro-3-oxanonane-1-sulfonate.pdf","evaluation, impact, monitoring, simulation, performance, realist, experimental, rct, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146447/an-evaluation-of-a-brief-intervention-to-reduce-substance-use-amongst-men-at-hmp-holme-house.pdf","evaluation, randomised control trial, impact, experimental, survey, monitoring, case study"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146507/annex-1-tables-and-figures.pdf","survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146508/annex-2-methodology.pdf","survey, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146509/annex-3-interview-and-survey-materials.pdf","interview, survey, evaluation, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146673/Early_career_framework_evaluation_year_one_research_brief_2023.pdf","evaluation, monitoring, impact, survey, case study, interview, experimental, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146922/GOV.UK_17.3_CRF_Final_Report_accessible_v3.pdf","evaluation, impact, survey, experimental, case study, interview, monitoring, propensity score matching, performance, regression discontinuity, realist, cost benefit analysis"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146923/GOV.UK_Annex_CRF_Evaluation_report_v2_acc.pdf","evaluation, survey, impact, realist, interview, propensity score matching, performance, monitoring, regression discontinuity, experimental"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1146974/Evaluation_of_Skills_Bootcamps_Wave_2_Implementation_Report_March_2023.pdf","evaluation, impact, interview, survey, focus group, performance, realist, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1147269/artifical_intelligence_sector_study_methodological_annex.pdf","survey, interview, experimental"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1147571/blended-advice-access-justice.pdf","evaluation, focus group, interview, impact, performance, experimental, survey, case study"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1147617/1_-_Population_v2.pdf","survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1147845/The_National_Minimum_Wage_in_2023.pdf","impact, evaluation, survey, experimental"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1147938/Impact_evaluation_of_Sharing_in_Growth_2021.pdf","impact, evaluation, monitoring, interview, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1148176/process-evaluation-of-section-28-evaluating-the-use-of-pre-recorded-cross-examination-for-intimidated-witnesses.pdf","evaluation, interview, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1148261/Supporting_Emergency_Needs__Early_Recovery_and_Endline_Report_of_the_Impact_Assessment_of_the_FCDO-funded_FAO_Programme_in_Syria.pdf","impact, survey, interview, evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1148326/Lipid_normalisation_in_the_OECD_305_dietary_test_-_report.pdf","impact, evaluation, experimental, realist"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1148538/Changing_Futures_Evaluation_-_feasibility_study.pdf","evaluation, impact, focus group, experimental, realist, interrupted time series, difference in difference, synthetic control, survey, monitoring, interview, qualitative comparative analysis, theory based, contribution analysis, rct, regression discontinuity, propensity score matching, simulation, qca, ethnography, cost benefit analysis, systematic review, bayesian updating, realist evaluation, rapid evidence assessment, randomised control trial, case study"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1148539/Changing_Futures_Evaluation_-_feasibility_study_annex.pdf","evaluation, impact, propensity score matching"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1148544/Changing_Futures_Evaluation_-_Frontline_support_models_REA.pdf","rapid evidence assessment, impact, evaluation, experimental, rct, systematic review, interrupted time series, simulation, interview, survey, focus group, quasi experimental"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1148546/Changing_Futures_Evaluation_-_Trauma_informed_approaches_REA.pdf","rapid evidence assessment, impact, evaluation, experimental, rct, systematic review, monitoring, quasi experimental, randomised control trial, interview, survey, realist, case study"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1148547/Changing_Futures_Evaluation_-_Baseline_report.pdf","evaluation, survey, rapid evidence assessment, impact, performance, interview, monitoring, theory based"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1148982/the-impact-of-benefit-sanctions-on-employment-outcomes.pdf","impact, evaluation, interview, monitoring, randomised control trial"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1149162/sector-sustainability-grant-end-of-grant-report.pdf","evaluation, impact, interview, survey, monitoring, case study, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1149536/MERP_Evaluation_2022_Full_Report_RW.pdf","evaluation, survey, impact, interview, focus group, realist, monitoring, performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1149864/evaluating-the-building-better-relationships-programme.pdf","impact, evaluation, propensity score matching, systematic review, regression discontinuity, performance, rct, experimental, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1149894/FINAL_Subsidy_Advice_Unit_Report_on_the_Energy_Bills_Discount_Scheme_for_Energy_and_Trade_Intensive_Industries__.pdf","evaluation, impact, performance, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1150245/Welsh_translation_-_Operation_Soteria.pdf","realist, meta analysis, interview, performance, ethnography, systematic review, experimental, impact, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1150297/Easy_Read_final_110423.pdf","interview"
